RKA890600-BLK02500,ACRYLAX-8906,IRW,, 18 ,2019-09-07,OC-002
RKA890600-DR000100,ACRYLAX-8906,IRW,, 1 ,2019-09-08,OC-002
RKA890700-BLK01000,ACRYLAX-8907,IRW,Paper, 1 ,2019-09-09,OC-002
RKA890700-BLK02500,ACRYLAX-8907,IRW,, 20 ,2019-09-10,OC-002
RKA890700-DR000100,ACRYLAX-8907,IRW,, 1 ,2019-09-11,OC-002
RKA9201H0-BLK01000,Acrylax-9201H,IRW,, 18 ,2019-09-12,OC-002
RKA9201H0-DR000200,ACRYLAX-9201H,IRW,Textile, 18 ,2019-09-13,OC-002
RKA950900-BLK01000,ACRYLAX-9509,IRW,Textile, 1 ,2019-09-14,OC-002
RKA950900-BLK02500,ACRYLAX-9509,IRW,, 19 ,2019-09-15,OC-002
RKA950900-DR000100,ACRYLAX-9509,IRW,, 1 ,2019-09-16,OC-002
RKA950900-DR000200,ACRYLAX-9509,IRW,Textile, 1 ,2019-09-17,OC-002
RKA952100-DR000200,ACRYLAX-9521,IRW,Textile, 18 ,2019-09-18,OC-002
RKA9612BT-BLK01000,ACRYLAX-9612BT,IRW,Textile, 16 ,2019-09-19,OC-002
RKA9612BT-BLK06000,ACRYLAX-9612BT,IRW,, 18 ,2019-09-20,OC-002
RKABEM100-BLK01000,BARIASTAR BEM-1,IRW,, 18 ,2019-09-21,OC-002
RKAGD282N-DR001000,ACRYLAX AGD-282N,IRW,, 15 ,2019-09-22,OC-002
RKAL0604T-BLK01000,ALMATEX-A-0604T,IRW,Textile, 1 ,2019-09-23,OC-002
RKAL0604T-DR000200,ALMATEX-A-0604T,IRW,, 1 ,2019-09-24,OC-002
RKAL90100-DR000200,ALMATEX- 9010,IRW,, 5 ,2019-09-25,OC-002
RKALA9055-DR000100,ALMATEX-A-9055,IRW,, 1 ,2019-09-27,OC-002
RKALA9055-DR000200,ALMATEX-A-9055,IRW,, 16 ,2019-09-28,OC-002
RKALA9092-BLK01000,ALMATEX-A-9092,IRW,, 16 ,2019-09-29,OC-002
RKAST1500-DR000200,STYRAX-150,IRW,Textile, 19 ,2019-09-30,OC-002
RKO10P117-BLK01200,10%POLY VINYL ALCOHOL 117S,IRW,, 11 ,2019-10-02,OC-002
RKO10P224-BLK01200,10%POLY VINYL ALCOHOL 224E,IRW,, 12 ,2019-10-03,OC-002
RKO20PGLO-DR000100,20%POLYVINYL ALCOHOL GL-05,IRW,, 8 ,2019-10-04,OC-002
RKOSBBSA4-DR000080,STARBOND-BSA 4,IRW,Adhesive, 36 ,2019-10-05,OC-002
RKOSN500A-CN000250,SN-500A,IRW,Estar, 8 ,2019-10-06,OC-002
RKOSN500B-CN000250,SN-500B,IRW,Estar, 8 ,2019-10-07,OC-002
RKOXC2250-BLK01000,ACCOFLOC XC-225,IRW,Paper, 12 ,2019-10-08,OC-002
RKOXC2250-KY000020,ACCOFLOC XC-225,IRW,Paper, 1 ,2019-10-09,OC-002
RKUP55000-BLK01000,U-RAMIN P-5500,IRW,Paper, 12 ,2019-10-13,OC-002
RKUP55000-DR000100,U-RAMIN P-5500,IRW,Textile, 1 ,2019-10-14,OC-002
RKUP61020-BLK01000,U-RAMIN P-6102,IRW,Paper, 17 ,2019-10-15,OC-002
RKUT30500-DR000100,U-RAMIN T-305,IRW,Textile, 12 ,2019-10-16,OC-002
RKUT306H0-DR000200,U-RAMIN T-306H,IRW,, 12 ,2019-10-17,OC-002
RKUT30M00-DR000100,U-RAMIN T-30M,IRW,, 14 ,2019-10-18,OC-002
RKUT37800-DR000100,U-RAMIN T-3780,IRW,, 14 ,2019-10-19,OC-002
RKUT37HC0-DR000100,U-RAMIN T-37HC,IRW,Textile, 16 ,2019-10-20,OC-002
